,geometry
7453,POINT (30.2642422695108 59.94703565)
7552,POINT (30.2657998926791 59.9416573)
7555,POINT (30.27759 59.947203)
7640,POINT (30.2863968045258 59.94271155)
7712,POINT (30.2866574 59.9436855)
7735,POINT (30.28397160615389 59.94228029999999)
7776,POINT (30.2850281 59.946049)
7803,POINT (30.28081616255461 59.94783715)
7811,POINT (30.271514165944 59.94448135)
7819,POINT (30.2733969 59.93983225)
7827,POINT (30.287244 59.94582560000001)
7843,POINT (30.27161824205839 59.9398505)
7891,POINT (30.282811250713 59.94497085)
7899,POINT (30.2785913351813 59.94539570000001)
8046,POINT (30.2777199 59.9412281)
8068,POINT (30.2757574672657 59.93930705)
8117,POINT (30.2840381 59.9468881)
8131,POINT (30.26922870000001 59.93399820000001)
8147,POINT (30.2699837459382 59.93805615)
8159,POINT (30.27207970000001 59.9455072)
8173,POINT (30.2748841 59.94369810000001)
8216,POINT (30.2763092317519 59.94841360000001)
8285,POINT (30.26249216555511 59.94269505)
8430,POINT (30.2840381 59.9468881)
8449,POINT (30.2670211 59.9329711)
8464,POINT (30.2777453 59.94937289999999)
8469,POINT (30.2614895416668 59.9457313)
8473,POINT (30.2726719 59.945064)
8474,POINT (30.26838376681311 59.9418495)
8492,POINT (30.28152391197161 59.94530105)
8554,POINT (30.28011397771471 59.945731)
8667,POINT (30.2532917255947 59.939271)
8709,POINT (30.284181 59.9380334)
8716,POINT (30.2820283 59.9375215)
8748,POINT (30.2852654326624 59.94357585)
8792,POINT (30.2709532353269 59.94206265)
8816,POINT (30.2805138998995 59.94636525)
8820,POINT (30.2722096833096 59.93455145)
8891,POINT (30.2921723853586 59.94157095)
8946,POINT (30.2828192 59.936834)
8959,POINT (30.28687458633269 59.93945085)
8965,POINT (30.2878843986913 59.9413405)
9023,POINT (30.2779527011828 59.93907745)
9045,POINT (30.2799336 59.9417042)
9140,POINT (30.2821127 59.9462759)
9152,POINT (30.2755500502054 59.9466697)
9176,POINT (30.26732459235651 59.935809)
9182,POINT (30.2841847 59.9473618)
9186,POINT (30.267011672137 59.93733615)
9228,POINT (30.269276 59.9363067)
9274,POINT (30.2708974 59.9410629)
9332,POINT (30.27618424144169 59.935427)
9466,POINT (30.2857068180514 59.94242389999999)
9488,POINT (30.27085205 59.93730625)
9501,POINT (30.2741283 59.9446848)
9509,POINT (30.26936764737649 59.94785160000001)
9530,POINT (30.2784018 59.94658199999999)
9538,POINT (30.2711577 59.94686020000001)
9585,POINT (30.2895190189162 59.93994085)
9776,POINT (30.2865585 59.9447057)
9817,POINT (30.2797737 59.94142220000001)
9851,POINT (30.2670211 59.9329711)
9858,POINT (30.2768908 59.94596070000001)
9861,POINT (30.267011672137 59.93733615)
9864,POINT (30.2614094283714 59.94525055)
10012,POINT (30.2889407088606 59.9424165)
10085,POINT (30.2749305 59.9401281)
10110,POINT (30.2796966 59.9419057)
10129,POINT (30.2821097 59.9427366)
10201,POINT (30.2626723 59.9448809)
10204,POINT (30.2736190846078 59.94791565)
10230,POINT (30.2640523 59.943884)
10240,POINT (30.2665450813723 59.9334504)
10245,POINT (30.278759 59.943769)
10349,POINT (30.2773024 59.9415836)
10444,POINT (30.2765916477418 59.93853805)
10479,POINT (30.286694999217 59.94449815)
10529,POINT (30.2573039976672 59.93046485)
10558,POINT (30.2696800452043 59.94758815)
10583,POINT (30.2741283 59.9446848)
10590,POINT (30.2739259098061 59.9474983)
10731,POINT (30.263630411099 59.9435944)
10818,POINT (30.2728793789255 59.93877055)
10823,POINT (30.2744792022193 59.93827)
10824,POINT (30.2824865 59.9395067)
10858,POINT (30.2802445 59.9426221)
10895,POINT (30.2635383 59.9386045)
10897,POINT (30.268027329413 59.94215875)
10907,POINT (30.2709345149289 59.9414002)
10913,POINT (30.2665749370968 59.9437943)
10928,POINT (30.2606814124604 59.94423605)
10931,POINT (30.2725269523753 59.9381959)
10933,POINT (30.27356663591161 59.9326115)
11060,POINT (30.2807543 59.94098689999999)
11144,POINT (30.2774301 59.93863760000001)
11237,POINT (30.2682694939003 59.9378457)
11252,POINT (30.2729065 59.94192170000001)
11270,POINT (30.27759 59.947203)
11275,POINT (30.2721679287569 59.94391385)
11309,POINT (30.2834884594358 59.93763195)
11443,POINT (30.27471661747089 59.94408665)
11454,POINT (30.2672311853704 59.94078860000001)
11501,POINT (30.2761642 59.9397292)
11585,POINT (30.2825089 59.9370932)
11591,POINT (30.2852407 59.9457657)
11611,POINT (30.2736103612637 59.94708789999999)
11629,POINT (30.26928016170511 59.94856935)
11633,POINT (30.26510975 59.94514005)
11641,POINT (30.2635383 59.9386045)
11780,POINT (30.2708974 59.9410629)
11888,POINT (30.2814254 59.9429304)
11986,POINT (30.2683430842912 59.93404015)
11995,POINT (30.2676388682174 59.93258465)
12003,POINT (30.2777124 59.9436811)
12008,POINT (30.268716886445 59.9337218)
12102,POINT (30.2608935 59.9279057)
12257,POINT (30.288037 59.9434175)
12269,POINT (30.2869333 59.9443191)
12288,POINT (30.2884035 59.9431707)
12311,POINT (30.2832896 59.94199870000001)
12336,POINT (30.2617930331314 59.93595965)
12337,POINT (30.259930872354 59.93552320000001)
12341,POINT (30.2832896 59.94199870000001)
12361,POINT (30.2810073983195 59.94434605)
12365,POINT (30.26896029405689 59.9459421)
12428,POINT (30.2686998494923 59.9374668)
12435,POINT (30.2698548773648 59.94149235)
12477,POINT (30.28141066846069 59.9457122)
12605,POINT (30.2846532 59.9434303)
12614,POINT (30.2716862 59.9462832)
12659,POINT (30.29221139968151 59.93975665)
12663,POINT (30.2823836818397 59.94678070000001)
12680,POINT (30.2886839 59.9436006)
12708,POINT (30.2635416 59.9441108)
12725,POINT (30.2775062 59.9408453)
12879,POINT (30.2825126 59.93653760000001)
12937,POINT (30.281847 59.93767320000001)
13068,POINT (30.27018434942489 59.9434023)
13073,POINT (30.274842 59.942985)
13257,POINT (30.2783728 59.9401079)
13297,POINT (30.28145850000001 59.9409952)
13336,POINT (30.2848112 59.9432558)
13346,POINT (30.2912801399271 59.93999640000001)
13383,POINT (30.2746250853371 59.948624)
13393,POINT (30.26413747365951 59.9418116)
13399,POINT (30.2664209 59.9364415)
13546,POINT (30.2900524009524 59.9395255)
13574,POINT (30.2695372 59.93710745)
13626,POINT (30.2779783 59.9404159)
13664,POINT (30.2868079670834 59.9415076)
13715,POINT (30.2857157 59.9367358)
13744,POINT (30.2708974 59.9410629)
