,geometry
6625,POINT (30.3513797101338 60.03340635)
6626,POINT (30.3328088 59.8642179)
6627,POINT (30.2922125320009 59.81533755)
6628,POINT (30.58428005 59.7370208)
6629,POINT (30.3674199453374 60.0259131)
6630,POINT (30.3754898084669 60.01620175)
6631,POINT (30.4076386 59.70895110000001)
6632,POINT (30.4006286082998 59.9705197)
6634,POINT (30.5822828 59.73280160000001)
6636,POINT (30.312781 59.8567368)
6637,POINT (30.3483222 59.91237260000001)
6638,POINT (30.412193 59.947083)
6639,POINT (30.3042910395742 59.8640275)
6640,POINT (30.3367898 59.9246025)
6641,POINT (30.426547579853 59.9570604)
6642,POINT (30.4264272629016 59.95569875)
6643,POINT (30.43141905 59.9283094)
6644,POINT (30.3138454471639 59.87446985)
6645,POINT (30.41712016565431 59.95561070000001)
6646,POINT (30.3466074 59.9140955)
6647,POINT (30.3445614353786 59.91173865)
6648,POINT (30.406726622784 59.98223835)
6649,POINT (30.3961190342294 60.002832)
6650,POINT (30.3122135970053 60.06210400000001)
6651,POINT (30.4143367 59.929746)
6652,POINT (30.3207506 59.87898730000001)
6653,POINT (30.4133790507715 59.94212875)
6654,POINT (29.7678559 59.90574350000001)
6655,POINT (29.77208605 59.90219885)
6656,POINT (30.4242219 60.0350179)
6657,POINT (30.344477 59.9339565)
6658,POINT (30.4801326483792 59.94708825)
6659,POINT (30.3117035 59.91588829999999)
6660,POINT (29.9152193260376 59.8703802)
6662,POINT (30.4040289 60.04422679999999)
6663,POINT (30.4537780178034 59.96146750000001)
6665,POINT (30.2617333153337 59.84701585)
6667,POINT (30.2825026717728 59.9205704)
6669,POINT (30.24071970039461 59.94163425)
6670,POINT (30.3081183 59.924393)
6671,POINT (30.29298660000001 59.9605114)
6672,POINT (29.7779948468986 59.99634605)
6673,POINT (30.2598176166924 59.84057265)
6674,POINT (29.7715513717328 59.99810795)
6675,POINT (30.4708609 59.8925029)
6676,POINT (30.5001924854388 59.86148155)
6677,POINT (30.4389867888075 59.87523149999999)
6678,POINT (30.1711167 59.83833145)
6679,POINT (30.299639631922 59.9916454)
6680,POINT (30.4819275820551 59.847265)
6681,POINT (30.4565424488109 59.9104905)
6682,POINT (30.4787607418471 59.92640485)
6683,POINT (30.1458788 59.83778710000001)
6684,POINT (30.47865844298689 59.8484252)
6686,POINT (30.474766 59.90264370000001)
6687,POINT (30.1613866518037 59.84007265)
6688,POINT (30.3064933 59.9488197)
6689,POINT (30.14765595 59.8430983)
6690,POINT (30.4106071536199 59.95246805)
6692,POINT (30.5009636760457 59.9240512)
6693,POINT (30.21013607680069 60.00877480000001)
6694,POINT (29.9456932903026 59.8552661)
6695,POINT (30.4112457 59.66430765)
6696,POINT (30.305949 59.9506769)
6697,POINT (30.4114695 59.92630670000001)
6698,POINT (30.3527959 59.9358526)
6699,POINT (30.39408538242331 60.00388795)
6700,POINT (30.3517430107587 60.03744065)
6701,POINT (30.3216845 59.8646808)
6702,POINT (30.3519895 59.9360923)
6703,POINT (30.4291414686093 59.97608979999999)
6704,POINT (30.4171950493648 59.92600065)
6705,POINT (30.4809204391382 59.88572995)
6707,POINT (30.4234411 59.9245804)
6708,POINT (30.35637502406031 59.90480820000001)
6709,POINT (30.2882132587494 59.99757705)
6710,POINT (30.3458877249872 59.98947510000001)
6711,POINT (30.3391079653965 60.00697090000001)
6712,POINT (30.3015634278284 59.91419715)
6713,POINT (30.2910495217306 59.91665215)
6716,POINT (29.89736342943311 59.881088)
6717,POINT (30.3011175 59.9296355)
6719,POINT (30.4383216 59.6832899)
6720,POINT (30.3322648 60.00239129999999)
6721,POINT (30.4647709781286 59.88337935)
6722,POINT (30.0849129312952 59.7347941)
6723,POINT (30.33276266962969 59.99909279999999)
6724,POINT (30.36124480000001 59.9543451)
6725,POINT (30.4681476 59.8817668)
6726,POINT (30.3650321896868 60.01601735)
6727,POINT (30.3422505 60.0565759)
6728,POINT (29.92651205 59.86132135)
6729,POINT (30.3637623709082 60.01688670000001)
6730,POINT (30.3172499 59.91307430000001)
6731,POINT (30.2821915814151 59.92543945)
6732,POINT (30.31375713313361 59.91295035)
6733,POINT (30.3155454 59.9137747)
6734,POINT (30.377153 59.92673489999999)
6735,POINT (30.4904169979946 59.83947855)
6736,POINT (30.2971587 59.9139935)
6737,POINT (30.3648503 59.9386828)
6738,POINT (30.3869323 59.9460906)
6739,POINT (30.3609812 59.94659179999999)
6741,POINT (30.3666034 59.9462137)
6742,POINT (30.462138161872 59.94780505)
6743,POINT (30.3619728 59.93883829999999)
6745,POINT (30.2683506 59.89243605)
6746,POINT (30.3303213 59.9231657)
6748,POINT (30.26528780000001 59.8897495)
6749,POINT (30.4904964 59.8949957)
6750,POINT (30.4754213043652 59.9075295)
6751,POINT (30.3845529 59.93269100000001)
6752,POINT (30.29268189999999 59.9240378)
6753,POINT (30.26520634926781 59.97123765)
6754,POINT (30.3562228625668 60.0005948)
6756,POINT (30.3656462 59.9303225)
6757,POINT (30.0834129118155 59.71989670000001)
6758,POINT (30.3513942565727 59.928397)
6759,POINT (30.2788908002537 59.90995785)
6760,POINT (30.3690351 59.9487796)
6761,POINT (30.341067 59.9422385)
6762,POINT (30.3444405 59.93026310000001)
6763,POINT (30.2616570983181 59.8908807)
6764,POINT (30.3880577325219 60.0340928)
6765,POINT (30.3259917 59.91456529999999)
6766,POINT (30.3960300912153 60.03463075)
6767,POINT (30.3229832 59.9137922)
6769,POINT (30.3735865966376 59.9327623)
6770,POINT (30.3225382 59.9141994)
6772,POINT (30.2959222560728 59.96419925)
6773,POINT (30.3425822 59.9271034)
6774,POINT (30.4774206817926 59.92358255)
6775,POINT (30.3449119 59.9290497)
6776,POINT (30.3734836 59.93666990000001)
6777,POINT (30.3406821 59.9422291)
6779,POINT (30.344674 59.9250754)
6780,POINT (30.3443024 59.9420604)
6781,POINT (30.3782688 59.9453323)
6782,POINT (30.2463231 59.8512738)
6783,POINT (30.2737604131894 59.890949)
6784,POINT (30.2475632514739 59.86194555)
6785,POINT (30.2688954720538 59.8799543)
6786,POINT (30.2673372 59.8724414)
6787,POINT (30.22682596890611 59.90815695)
6788,POINT (30.2494820214632 59.85407895)
6790,POINT (30.24877085234769 59.8412372)
6792,POINT (30.2630552982289 59.8470762)
6793,POINT (30.4566768189522 59.67634645)
6795,POINT (30.4484843 59.86411725)
6796,POINT (30.3471837441041 59.8388557)
6797,POINT (30.4346708 59.8779245)
6798,POINT (30.4284850553543 59.88692415)
6799,POINT (30.394043760339 59.8373046)
6800,POINT (30.3253399592101 59.9146166)
6801,POINT (30.3004028478607 59.81091110000001)
6802,POINT (30.4503895706697 59.86704920000001)
6803,POINT (30.3166047612648 59.83418775)
6804,POINT (30.3845467 59.8773382)
6805,POINT (30.287366 59.9243735)
6807,POINT (30.331802229232 60.0327296)
6809,POINT (30.2135131 60.00598929999999)
6811,POINT (30.3529659 59.9182541)
6812,POINT (30.2990831483924 59.85694515)
6815,POINT (29.91728675 59.86821425)
6816,POINT (30.24728467249761 59.9511409)
6817,POINT (30.370403 60.0504812)
6818,POINT (30.3359050751114 59.846108)
6820,POINT (30.3654741 60.03947040000001)
6821,POINT (30.0348690597969 59.85354079999999)
6822,POINT (30.4147669264932 59.91952165)
6823,POINT (30.4654227654023 59.89790675)
6824,POINT (30.2196715981976 60.02973265)
6825,POINT (30.3774952277004 59.8688214)
6826,POINT (30.3886816 59.9440645)
6827,POINT (30.3979472 60.0145879)
6828,POINT (30.4365458 59.6839186)
6829,POINT (30.237786751713 59.93976120000001)
6830,POINT (30.3002041 59.91450699999999)
6832,POINT (29.7837270087639 59.9943618)
6833,POINT (30.2682903 60.0201323)
6834,POINT (30.28931110000001 59.7166951)
6835,POINT (30.4201919506418 59.69517575)
6836,POINT (30.2595992832465 60.00390135)
6837,POINT (29.9483918685974 59.8575797)
6838,POINT (30.18351035 60.04287815)
6839,POINT (30.4235899804556 59.98682765)
6841,POINT (30.44676551999051 59.91712929999999)
6843,POINT (30.2354938 59.94275179999999)
6844,POINT (30.4070979396057 60.0455244)
6846,POINT (29.77203175 59.90690045)
6847,POINT (30.4726084799665 59.8717803)
6848,POINT (30.3456826576072 60.0051225)
6849,POINT (30.4069415035395 60.0149118)
6850,POINT (30.4805090116782 59.9530502)
6853,POINT (30.477029706231 59.92221)
6854,POINT (30.3159266676978 59.9875739)
6855,POINT (30.2025055 59.9895628)
6856,POINT (30.3474158 59.9302715)
6857,POINT (30.3345698 60.0502387)
6858,POINT (30.44179995 59.6839565)
6859,POINT (30.3316272295465 59.92238505)
6861,POINT (30.4699192 59.8666431)
6862,POINT (30.4306 59.7196662)
6863,POINT (30.4161022201494 60.02803145)
6865,POINT (30.3920571 59.8654993)
6866,POINT (30.3802059 59.9284818)
6867,POINT (30.2259683 59.9475628)
6868,POINT (30.36704910000001 59.9454634)
6869,POINT (30.2966235624482 59.94412715)
6870,POINT (30.3358588 59.8428774)
6871,POINT (30.2473873991602 59.8451223)
6872,POINT (30.2735723772718 59.97131185)
6873,POINT (30.2304607159407 59.83793660000001)
6874,POINT (30.2768631 59.98707270000001)
6875,POINT (30.4118764108666 60.019002)
6876,POINT (30.2339457330196 59.95777215)
6877,POINT (30.200690682332 59.98617475)
6878,POINT (30.2615903253538 59.8932156)
6879,POINT (30.3877611 59.70681329999999)
6880,POINT (30.4669767 59.89838465)
6881,POINT (29.8878448365109 59.87451845)
6882,POINT (30.3527998907498 59.998003)
6883,POINT (30.4744576205495 59.91903285)
6884,POINT (30.50719941577291 59.83680785)
6885,POINT (30.25916525 59.8539708)
6886,POINT (30.4287970179413 60.0108676)
6887,POINT (30.34782580000001 59.86139100000001)
6888,POINT (30.2665820229238 59.8914802)
6889,POINT (30.39963789999999 59.7249808)
6890,POINT (30.433264 59.684853)
6891,POINT (30.0788247375968 59.7340567)
6892,POINT (30.41767898694711 60.02505545)
6893,POINT (30.4010194219779 59.72495615)
6894,POINT (30.4171696292719 60.00387815)
6895,POINT (29.7779295000594 59.9104937)
6896,POINT (30.4303808082976 60.02835515)
6897,POINT (30.0071177122497 60.0543223)
6898,POINT (30.3439550501183 60.00012065)
6899,POINT (30.354716 59.9355176)
6900,POINT (29.7740291520811 59.9894142)
6901,POINT (30.415731 59.72225600000001)
6902,POINT (30.07767675 59.72067725)
6903,POINT (29.6990229536446 60.1944761)
6904,POINT (30.2252634117211 59.8309851)
6907,POINT (30.3829686496237 59.8701634)
6910,POINT (30.3543109 59.9466723)
6911,POINT (30.3576025 60.0033559)
6912,POINT (30.2249180854794 60.0073932)
6913,POINT (30.377182 59.93942310000001)
6914,POINT (30.45823447241 59.8687578)
6915,POINT (30.3737369787874 59.93574375)
6916,POINT (30.3510724514641 59.9840524)
6918,POINT (30.0869468 59.7190354)
6919,POINT (29.7562174083487 60.00062955)
6920,POINT (30.3849180275339 59.94522625)
6922,POINT (30.3856941951208 59.7063978)
6923,POINT (30.408439 59.95685940000001)
6924,POINT (30.11098127026169 59.8463958)
6925,POINT (30.4173001078136 59.89482805)
6926,POINT (30.3214943 59.9579568)
6927,POINT (30.2171096427422 59.8289965)
6928,POINT (30.3143981044769 60.05288515)
6929,POINT (30.1883642 59.8600618)
6930,POINT (30.3209509 60.0474536)
6931,POINT (30.1551782 59.8329334)
6932,POINT (30.3778060333626 59.70508005)
6933,POINT (30.466568 59.9315263)
6936,POINT (30.4619882188339 59.93209805)
6937,POINT (30.39148475 59.85355095)
6938,POINT (30.3743554998483 59.93277665)
6940,POINT (30.3495145658973 59.86218105)
6941,POINT (30.3518028 59.8370037)
6942,POINT (30.1068513098001 59.7790121)
6943,POINT (30.3161756122487 60.02442850000001)
6944,POINT (30.31794583426089 59.8767378)
6945,POINT (30.4826764 59.93798570000001)
6946,POINT (29.69942215 60.1941122)
6949,POINT (30.0903342 59.7383536)
6950,POINT (29.76303619999999 59.9958534)
6951,POINT (30.2400253818628 60.03757575)
6952,POINT (30.2712532041869 59.87856755)
6953,POINT (29.7774915 59.90912629999999)
6954,POINT (30.4004932998798 59.9662297)
6955,POINT (30.1951166469216 59.8539443)
6956,POINT (30.39963789999999 59.7249808)
6957,POINT (30.3146762333025 59.9100686)
6958,POINT (30.4151454226614 59.9620373)
6959,POINT (30.400177999062 59.8665695)
6960,POINT (30.3200913 60.0431556)
6961,POINT (30.3248249677962 59.91667705)
6962,POINT (30.3839435 59.8722039)
6963,POINT (30.2982343264174 59.95267985)
6964,POINT (30.43508875 59.68435425)
6965,POINT (30.4160983432692 59.72770015)
6966,POINT (30.04046865 59.7189654)
6967,POINT (30.6066278 59.749267)
6968,POINT (30.0720886809907 59.72009255)
6969,POINT (30.4155445 59.8938902)
6970,POINT (30.4090801547847 59.89357615)
6971,POINT (30.2974807 59.9319939)
6972,POINT (30.4042953 59.8701155)
6973,POINT (30.26451555 59.8355904)
6974,POINT (30.3859179 59.8492671)
6976,POINT (30.39969942092949 59.82635125)
6977,POINT (30.3531996890293 60.03237565)
6978,POINT (30.4143787572558 59.70833639999999)
6979,POINT (30.5649507314703 59.73702785)
6980,POINT (30.3804554 59.99606800000001)
6981,POINT (30.33822125 59.85744105)
6982,POINT (30.434778 59.9536215)
6983,POINT (30.3074860070183 59.84396555)
6984,POINT (30.4088090927954 59.97012465)
6985,POINT (30.471664 59.95024179999999)
6987,POINT (30.4238371178567 59.98948805)
6989,POINT (30.2977559 59.8479912)
6991,POINT (30.4118235525154 59.89622935)
6993,POINT (30.391005 59.8499439)
6994,POINT (30.3609672 59.94334839999999)
6995,POINT (30.3484451190508 59.9127201)
6996,POINT (30.35183360000001 59.9563435)
6998,POINT (30.3627115395213 59.94002055)
6999,POINT (30.418019213916 59.9874211)
7000,POINT (30.4172799204645 59.92446999999999)
7001,POINT (30.4041934 59.7183337)
7002,POINT (30.3240813989375 59.8922486)
7003,POINT (30.4262017315132 60.01238875)
7004,POINT (30.43188939837611 59.99493585)
7005,POINT (29.90972005 59.87009370000001)
7006,POINT (30.6055755 59.7434218)
7007,POINT (30.3832355 59.9252624)
7008,POINT (30.3263990587805 60.04946335)
7009,POINT (30.3045471801945 60.06415379999999)
7010,POINT (30.3500556 59.9261488)
7011,POINT (30.317345 59.91518670000001)
7012,POINT (29.7771338630293 59.90346629999999)
7014,POINT (30.47507332763831 59.95259795)
7015,POINT (30.3001372917732 59.91545085)
7016,POINT (30.5112673511194 59.97632610000001)
7017,POINT (30.4861258055653 59.95996305)
7018,POINT (30.4064131 59.9296422)
7019,POINT (30.4920048 59.9423296)
7020,POINT (30.3541115 59.9331912)
7021,POINT (30.4891194 59.94646280000001)
7022,POINT (30.4715646791212 59.954878)
7023,POINT (29.8979427 59.8831524)
7024,POINT (30.2588478 59.8760318)
7025,POINT (30.3151397 59.9616602)
7027,POINT (30.2455762 59.84452020000001)
7028,POINT (30.28966592016 59.91669545)
7030,POINT (30.20714550000001 59.9440426)
7031,POINT (30.2262433364851 59.8267806)
7032,POINT (30.2986077 59.9238739)
7033,POINT (30.2429975 59.9302658)
7035,POINT (29.7679729 59.99561729999999)
7036,POINT (30.2194103481957 59.94079590000001)
7037,POINT (29.763023 59.99620030000001)
7038,POINT (30.277638463879 59.9181845)
7039,POINT (30.2347976661765 59.9418953)
7040,POINT (30.3295715 59.9232298)
7043,POINT (30.17832615 59.82844045)
7044,POINT (30.51383255 59.82930605)
7045,POINT (30.4866807459272 59.84277285)
7047,POINT (30.4773280990832 59.9302808)
7048,POINT (30.18301346229511 59.82908525)
7050,POINT (30.1669331 59.83146845)
7051,POINT (30.27355279164869 60.01465805)
7052,POINT (30.4757148 59.89281075)
7053,POINT (30.1846674 59.85502760000001)
7055,POINT (30.3871979829071 60.04887355)
7056,POINT (30.42742653094231 59.97777120000001)
7057,POINT (30.4233504565195 59.9730519)
7058,POINT (30.3855634234294 60.04395205)
7059,POINT (30.334689062983 60.0148765)
7060,POINT (30.2891780054023 59.91988000000001)
7061,POINT (30.2944583 59.96629960000001)
7063,POINT (30.28245039999999 59.8982328)
7065,POINT (30.4096242828166 59.9233306)
7066,POINT (30.3526024 59.9363302)
7068,POINT (30.4043841611094 59.93799565)
7069,POINT (30.35245603415289 59.91085085)
7070,POINT (30.3640776 59.9362505)
7071,POINT (30.379420789842 59.93928465)
7072,POINT (30.35878592292 59.8850287)
7073,POINT (30.4713868 59.8818134)
7075,POINT (29.7639506 59.9938726)
7077,POINT (30.2798400911156 59.9856351)
7078,POINT (30.3695082 59.8728458)
7080,POINT (30.3511828 59.9361036)
7081,POINT (30.4177825518693 59.9600784)
7083,POINT (29.7729771803112 59.98834445)
7084,POINT (30.2959518 59.9190199)
7085,POINT (30.2649307 59.86652779999999)
7086,POINT (30.3810072182203 59.9304321)
7088,POINT (30.2954313 59.9840137)
7089,POINT (30.2458524460632 60.01791850000001)
7091,POINT (30.4271787320289 59.8967231)
7093,POINT (29.8652574 59.8822519)
7094,POINT (30.4257464896196 59.8985767)
7095,POINT (30.4327929918513 59.9607127)
7097,POINT (30.3541033647565 60.05565600000001)
7099,POINT (29.8564444104606 59.87354405)
7100,POINT (29.9594655667027 60.087648)
7101,POINT (30.4347554995508 59.9667176)
7102,POINT (30.278617872644 59.98432905)
7103,POINT (30.20510541402589 59.8289339)
7104,POINT (30.0830196840193 59.73522655)
7105,POINT (30.3006756773467 59.92877160000001)
7106,POINT (30.2037855150716 59.83184805)
7108,POINT (30.3326597 60.04785870000001)
7109,POINT (30.294123 59.9204803)
7110,POINT (30.2908895450465 59.92052745)
7111,POINT (30.241932 59.9523444)
7112,POINT (30.3470463 59.9426825)
7113,POINT (30.2339457330196 59.95777215)
7114,POINT (30.3482268 59.9424926)
7115,POINT (30.2999039075594 59.96550405)
7119,POINT (30.450937 59.90809960000001)
7120,POINT (29.7098541683547 60.19908545)
7122,POINT (30.3736589 59.9319568)
7123,POINT (30.3239554 59.91499570000001)
7126,POINT (30.35745039999999 59.9386921)
7127,POINT (30.3389974931895 59.92435160000001)
7128,POINT (30.3484013149081 59.91880995)
7129,POINT (30.0825768469126 59.74430690000001)
7130,POINT (30.3163867 59.9364344)
7133,POINT (30.3192707 59.9574941)
7134,POINT (30.35275560000001 59.9266449)
7139,POINT (30.3042173181288 59.95264165)
7142,POINT (30.393544320285 59.93933315)
7143,POINT (30.38030234246989 59.9344905)
7144,POINT (30.4734453 59.90561865)
7145,POINT (30.3300353 59.91507729999999)
7146,POINT (30.3186311 60.0183841)
7147,POINT (30.2986908233534 59.95435125)
7149,POINT (30.3568527 59.9251254)
7150,POINT (30.3530273 59.92811999999999)
7151,POINT (30.4866912727848 59.8936313)
7152,POINT (30.3489859 59.9445446)
7153,POINT (30.3211272 59.91460470000001)
7154,POINT (30.2966014 59.96402239999999)
7155,POINT (30.4645879761667 59.9060106)
7156,POINT (30.3796617 59.9360681)
7157,POINT (30.42138566543311 60.02767935)
7158,POINT (30.3226488 59.9428714)
7161,POINT (30.3077149 59.9211828)
7162,POINT (30.2699644315309 59.86985295)
7164,POINT (30.38035925869589 60.04616329999999)
7165,POINT (30.4013194761943 59.96663905)
7166,POINT (30.4169946 59.7271065)
7167,POINT (30.47689975 59.86175545)
7169,POINT (30.3273341940332 59.8436719)
7170,POINT (30.3218462 60.0114851)
7171,POINT (30.3175716 59.9273973)
7172,POINT (30.4358017 59.8775639)
7173,POINT (30.42966280000001 59.8898708)
7174,POINT (30.3097852 59.8514855)
7175,POINT (30.4419508460108 59.87070105)
7176,POINT (30.33370725 59.8511499)
7177,POINT (30.43652800000001 59.87715079999999)
7178,POINT (30.3595542011132 59.9332824)
7179,POINT (30.3217546 59.9121109)
7180,POINT (30.08278589698589 59.74529645)
7182,POINT (30.379542 59.9344422)
7185,POINT (30.2227625 60.0249949)
7186,POINT (30.2696965123659 59.8653249)
7188,POINT (30.5759054 59.7424873)
7189,POINT (30.2540718404103 59.9077333)
7190,POINT (30.3385176606278 59.93033175)
7191,POINT (30.2380954476477 60.01958955)
7192,POINT (30.4126504 59.8948848)
7193,POINT (30.3515218 59.9274653)
7194,POINT (30.1669775253392 59.84054785)
7195,POINT (30.3752860068478 60.02322120000001)
7196,POINT (30.4422836 59.9349345)
7197,POINT (30.4663665808275 59.87230970000001)
7198,POINT (30.1969198 59.9940634)
7200,POINT (30.27260260000001 59.85409365)
7201,POINT (30.4991702 59.9117662)
7202,POINT (30.041674835417 59.7185916)
7205,POINT (30.4090154 59.7077046)
7207,POINT (30.1670887 59.8330647)
7208,POINT (30.2172374 59.83602515)
7209,POINT (30.4280255543787 59.89595415)
7210,POINT (30.4537106 59.90921089999999)
7211,POINT (30.40522402881189 59.7246995)
7212,POINT (30.4329678 59.9180353)
7214,POINT (30.4913109 59.93849095)
7215,POINT (30.416784063928 59.88990905)
7216,POINT (30.0870663548461 59.735296)
7217,POINT (30.15656225 59.82696555)
7218,POINT (30.2536976598488 59.85729405)
7219,POINT (30.03264705 59.8524696)
7220,POINT (30.4092876564756 60.0061942)
7221,POINT (30.2954864335243 59.85776429999999)
7224,POINT (30.3809939 60.04294470000001)
7225,POINT (30.4154969325567 59.73822825)
7226,POINT (30.3108632133205 60.05874305)
7227,POINT (29.7678582440664 60.00122895)
7228,POINT (30.2416687841617 59.84595970000001)
7229,POINT (30.6165670780664 59.7319927)
7231,POINT (30.3807370001112 59.9395683)
7232,POINT (30.3392714 59.9978499)
7233,POINT (30.4587081908182 59.92098275)
7234,POINT (30.4191195562782 59.88942785)
7237,POINT (30.4287964102602 59.6890981)
7238,POINT (30.2125823 59.8533823)
7239,POINT (30.4858692 59.920398)
7243,POINT (30.37555750396961 60.02651235)
7244,POINT (30.2028808576697 59.991609)
7246,POINT (30.41571295 59.7267512)
7247,POINT (30.4071956 59.7246144)
7248,POINT (30.4272307264482 60.03616755)
7249,POINT (30.3629545920268 59.9422312)
7250,POINT (29.98678375 60.03594595)
7252,POINT (30.3165129269596 59.86193735)
7253,POINT (30.35831752036331 60.0043699)
7254,POINT (30.3551342491286 59.83668325)
7255,POINT (30.41786075621361 59.98540865)
7256,POINT (30.2210359662051 59.98854175)
7258,POINT (30.295333895989 59.96043035)
7260,POINT (30.31022410000001 59.91585840000001)
7261,POINT (30.4228514275733 60.00246255)
7262,POINT (30.2618530016209 59.8488451)
7264,POINT (30.42434997098189 59.92237220000001)
7265,POINT (30.580511110299 59.73100725)
7266,POINT (30.3011411059078 59.81383485)
7268,POINT (29.76872555 59.91526565)
7269,POINT (30.2916560369593 60.06204095)
7270,POINT (30.3907268 59.9739829)
7271,POINT (30.3161092061801 59.83768249999999)
7273,POINT (30.4090854 59.70779939999999)
7274,POINT (30.4075564 59.6555548)
7275,POINT (30.405675733247 60.03293525)
7276,POINT (30.4756755045348 59.9413372)
7277,POINT (30.3993007 60.00297710000001)
7278,POINT (30.29207107724131 60.02502439999999)
7279,POINT (30.4812613500562 59.91472185)
7280,POINT (30.3621611546386 60.00317695)
7281,POINT (30.386742 60.0352998)
7282,POINT (30.3538493 59.9294152)
7283,POINT (30.2628939 60.0069454)
7284,POINT (30.2675929634321 59.83701729999999)
7285,POINT (30.50977275 59.83073215)
7286,POINT (30.3761371170964 59.93686435)
7287,POINT (30.3021848 59.91183570000001)
7288,POINT (30.2711488198554 59.89706145)
7290,POINT (30.3335705 59.8283564)
7291,POINT (30.461152043319 59.91580225)
7293,POINT (29.9060234485294 59.8716912)
7294,POINT (30.2205023 60.0089959)
7295,POINT (30.4311311 60.0308892)
7296,POINT (30.31615630000001 59.8762425)
7297,POINT (30.48893085 59.84408775)
7298,POINT (30.3996818314058 59.9157167)
7299,POINT (30.4814431 59.95442729999999)
7300,POINT (30.4314329670709 59.8941289)
7301,POINT (29.9767863109346 60.0949836)
7302,POINT (30.20831230000001 60.0084022)
7304,POINT (30.2418314920598 59.8452819)
7306,POINT (30.3764706420678 59.93439975)
7307,POINT (30.4470402 59.9147292)
7308,POINT (30.4029813 59.9706892)
7309,POINT (30.22682596890611 59.90815695)
7310,POINT (30.373177805519 59.93596705)
7311,POINT (30.2762047 59.91133410000001)
7312,POINT (29.71961315 60.0082385)
7313,POINT (30.2559442898175 59.83777679999999)
7314,POINT (30.1522045717934 59.7880328)
7315,POINT (30.3523186 59.9558132)
7317,POINT (30.3957488059975 59.82927025)
7318,POINT (30.3929237 59.8620662)
7319,POINT (30.5885311 59.74953780000001)
7321,POINT (30.3403122734334 59.9712179)
7322,POINT (30.3404923042621 60.03940885)
7323,POINT (30.37114735 59.7061296)
7324,POINT (30.4843791 59.9370046)
7325,POINT (30.3818359 60.0242167)
7326,POINT (30.395113 59.8526405)
7327,POINT (30.3397383240657 59.97026329999999)
7328,POINT (30.4741153 59.94778520000001)
7329,POINT (30.35639584207011 59.9105678)
7331,POINT (30.5965221 59.7758052)
7332,POINT (30.4119297600535 59.8953538)
7333,POINT (30.4353617706641 59.8798488)
7334,POINT (30.4188642 59.953605)
7335,POINT (30.3059764921085 60.06563965)
7336,POINT (30.3910079609942 60.01798885)
7337,POINT (30.4202202234988 59.9549865)
7339,POINT (30.2957960404076 59.8631046)
7340,POINT (30.3690912785393 59.9393432)
7341,POINT (30.3311090010561 59.85484205)
7345,POINT (30.3201816 59.88923520000001)
7346,POINT (29.91027589999999 59.86922439999999)
7347,POINT (30.3325269275662 59.85947370000001)
7348,POINT (30.3794022207618 59.93025825)
7349,POINT (30.420579580147 59.92204415)
7350,POINT (30.3121862257296 59.857778)
7351,POINT (29.7744436497362 59.90439255)
7352,POINT (29.78178560000001 59.9078062)
7353,POINT (29.7830682792987 59.91036115)
7354,POINT (30.56222116213689 59.73909515)
7355,POINT (30.4711956 59.8719321)
7356,POINT (30.4111517 59.9588236)
7357,POINT (30.3797032929173 59.96203120000001)
7358,POINT (30.5722393054006 59.73224010000001)
7359,POINT (30.370869897883 59.92777075)
7362,POINT (30.2827841527296 59.92515185)
7363,POINT (30.2450512162807 59.9295643)
7364,POINT (29.7612064837065 59.9938719)
7365,POINT (30.2405296 59.8609428)
7366,POINT (30.30354220000001 59.9257931)
7367,POINT (30.3023603 59.96358539999999)
7368,POINT (30.2567541404354 59.83333835)
7370,POINT (30.2458935 59.9296669)
7371,POINT (30.3170844 59.93165989999999)
7372,POINT (30.4807599889263 59.87998760000001)
7373,POINT (30.1457723 59.838995)
7374,POINT (30.3014130990819 59.99248035)
7375,POINT (30.4856703 59.8815388)
7376,POINT (30.4806793753388 59.90234215)
7377,POINT (30.0869730994526 59.7437647)
7378,POINT (30.2421853906631 59.99934185)
7379,POINT (30.47014365 59.8923294)
7380,POINT (30.1664317243679 59.83701850000001)
7381,POINT (30.4621853 59.8916669)
7382,POINT (30.1783176521556 59.82673015)
7383,POINT (30.0794655483212 59.72012535)
7384,POINT (30.4127636030231 59.92514620000001)
7385,POINT (30.331574183851 60.01679655)
7386,POINT (30.3705181539748 59.87307745)
7387,POINT (30.27412435 59.8744797)
7389,POINT (30.5697222 59.7415425)
7390,POINT (30.14797145011111 59.82602320000001)
7391,POINT (30.28476173801731 59.98393015)
7392,POINT (30.3730688628495 59.93297370000001)
7393,POINT (30.1799806 59.82490110000001)
7394,POINT (30.3348214963241 60.04193695)
7396,POINT (30.34374205060261 59.90659045)
7397,POINT (30.2900126133257 59.91998835)
7398,POINT (30.6125033239092 59.74866925)
7399,POINT (30.4738739998496 59.88455045)
7400,POINT (29.7845583730002 59.99276285)
7401,POINT (30.3676727 59.92852289999999)
7402,POINT (30.3588722 59.9360099)
7403,POINT (30.4155189475412 60.0345563)
7404,POINT (30.3589877 59.9357478)
7405,POINT (30.4222952781568 59.92417715)
7406,POINT (30.56913765490239 59.7327164)
7407,POINT (30.3255955529329 59.87469845)
7408,POINT (30.414111024357 59.94887485)
7409,POINT (30.4635816535345 59.8727698)
7410,POINT (29.7853076839984 59.99214185)
7411,POINT (30.2922687 59.9202797)
