,lat,lng
74,59.9407373,30.2911742
126,59.94457565,30.268982170344806
156,59.94090840000001,30.264523200000006
161,59.9448153,30.272973600000004
166,59.935427,30.276184241441694
215,59.9439233,30.2881924
222,59.94018689999999,30.27420789459689
235,59.93983225,30.2733969
256,59.941003,30.283973535201106
257,59.94242439999999,30.2824924
294,59.9436149,30.2749756
352,59.93853805,30.2765916477418
376,59.93763195,30.2834884594358
441,59.9354269,30.2736848
484,59.9351792,30.271216
487,59.9431124,30.2705345360428
501,59.9424939,30.2644338014368
503,59.9451195,30.2880677
666,59.942126,30.285391116824197
676,59.9395255,30.290052400952398
734,59.9374547,30.2753459
753,59.9369001,30.2820665
759,59.941003,30.283973535201106
795,59.937387,30.288367600000004
804,59.9401408,30.291508500000006
848,59.9409527,30.2750849
850,59.943528,30.269938631812305
863,59.9410629,30.2708974
879,59.94562120000001,30.2781727
887,59.945731,30.280113977714706
892,59.94067625,30.2649037439235
1018,59.9434108,30.2715309
1025,59.9443191,30.2869333
1104,59.93942420000001,30.2765114
1214,59.94635110000001,30.2792865954715
1237,59.93808775,30.2754965256258
1244,59.9395658,30.2635335424482
1246,59.94449945,30.260914747185197
1253,59.94177270000001,30.286507047070998
1302,59.943474,30.267514628347893
1312,59.942126,30.285391116824197
1405,59.93975665,30.292211399681506
1408,59.9410342,30.2738598
1490,59.936002,30.283157
1575,59.9452727,30.2791799
1578,59.93742475,30.267419874984498
1584,59.94503525,30.2657375207082
1600,59.9418495,30.268383766813105
1615,59.9351792,30.271216
1711,59.94512005,30.282630729731608
1855,59.9408201,30.2782218
1933,59.9346832,30.2711543
1944,59.9424939,30.2644338014368
1951,59.9489123,30.2757125
1956,59.9416568,30.266205122121896
1957,59.944802,30.2782037941289
2054,59.9449335,30.270806772031804
2192,59.9447057,30.2865585
2250,59.9433039,30.2613487
2290,59.9410629,30.2708974
2294,59.94525495,30.276592722350397
2299,59.93689770000001,30.269379337733398
2312,59.9466499,30.2589508361438
2631,59.9385672,30.2740356
2634,59.9437943,30.266574937096802
2636,59.94646899999999,30.27167410000001
2652,59.9424882,30.272007873861998
2656,59.93661650000001,30.260692306299802
2662,59.9444876,30.261463543951503
2862,59.9381694,30.2780482
2927,59.94000550000001,30.292067
2942,59.9454703,30.2857103
2952,59.93046485,30.257303997667197
2968,59.94453025,30.2792907509588
3043,59.94937289999999,30.2777453
3234,59.94047,30.2813579
3266,59.94125210000001,30.280978
3290,59.94481010000001,30.2884006
3316,59.93733615,30.267011672137
3328,59.94659435,30.269847102817106
3461,59.94205565,30.2726797020647
3499,59.93708965,30.2665073781083
3504,59.9442534,30.279596617589693
3629,59.94309215,30.286234539357
3635,59.94142220000001,30.2797737
3691,59.94841360000001,30.2763092317519
3693,59.9475089,30.273052941069004
3698,59.94783715,30.280816162554608
3701,59.9367035,30.2617951770618
3731,59.9471209,30.270101585028602
3908,59.93653760000001,30.2825126
3949,59.9417601,30.2899529
4024,59.9360519,30.2668924
4030,59.9335875,30.2703754148658
4043,59.932706,30.2743114
4044,59.93784125,30.27317352606
4105,59.9353014,30.262327631199003
4287,59.940868,30.2793744
4293,59.9427366,30.2821097
4461,59.93945085,30.286874586332694
4503,59.9471254,30.28112883071689
4511,59.93977915,30.2832491981809
4599,59.9415836,30.2773024
4604,59.9426032,30.2829732
4615,59.9434175,30.288037
4699,59.9460741,30.2606919931459
4700,59.94400755,30.2696521062668
4732,59.93961005,30.271918338986502
4863,59.9416899,30.2809433
4946,59.93952765,30.278139095232703
4947,59.9418743,30.2831636
4951,59.9417373,30.2771382
4952,59.9445404,30.2840264
4953,59.9375215,30.2820283
4995,59.941998700000006,30.2832896
5062,59.94582205,30.2810304272189
5068,59.94512005,30.282630729731608
