,id,lat,lng
0,0,,
1,1,59.837160600000004,30.262812100000005
2,2,59.86311185,30.3760026393255
3,3,59.864261899999995,30.3898461760562
4,4,59.7035591,30.360867400890104
5,5,,
6,6,59.7504734,30.5888801267241
7,7,,
8,8,59.903611899999994,29.7696169
9,9,60.02492410000001,30.3817525
10,10,59.742344200000005,30.58989755
11,11,59.9275836,30.412590299999998
12,12,59.8528132,30.311416499999996
13,13,59.879615599999994,30.4337016104022
14,14,59.8908475,30.4281587
15,15,59.99629555,29.7642317527372
16,16,59.74334865,30.604608600000002
17,17,,
18,18,59.91176595,30.349100302754003
19,19,59.917970200000006,30.349940669660395
20,20,,
21,21,59.717854,30.4060592
22,22,59.9362189,30.3676803
23,23,59.9296829,30.3507480065549
24,24,59.91274655,30.3508399965845
25,25,59.95171139999999,30.410436999999998
26,26,60.00639449999999,30.406672487894102
27,27,59.92449115,30.349312863455502
28,28,59.899488600000005,30.3682884567568
29,29,59.9001299,30.361994699999997
30,30,59.944158900000005,30.3503358
31,31,,
32,32,,
33,33,59.95670085,30.411813000000002
34,34,59.91485055,30.2989521073385
35,35,59.8353306,30.3917037365553
36,36,59.74962175,30.606547978551898
37,37,59.83501975,30.392958973800997
38,38,59.74819685,30.613574786354103
39,39,59.940375100000004,30.4962290355362
40,40,59.947037,30.3823762
41,41,60.024317599999996,30.2416869986099
42,42,59.93918539999999,30.4793239
43,43,59.94858860000001,30.481207253910497
44,44,59.95840535,30.4104488127528
45,45,59.9131809,30.2954147
46,46,59.9263417,30.3053269963056
47,47,59.93353199999999,30.239326300000002
48,48,59.83765525,30.204220478898
49,49,59.9164593,30.3044775
50,50,,
51,51,,
52,52,59.86013445,30.24498485
53,53,59.8579924,30.2395216
54,54,59.99752585,29.763266302383197
55,55,,
56,56,,
57,57,59.9022387,30.270789699999998
58,58,60.00525245,30.245820468800503
59,59,60.00112945,30.243878784981398
60,60,59.86697065,30.437536459752398
61,61,,
62,62,59.7337312,30.07563345
63,63,59.98359715,30.3113735429746
64,64,59.982816899999996,30.3105342
65,65,59.99523715,30.314605331149
66,66,59.8400397,30.176644931623503
67,67,59.9559682,30.3051290128978
68,68,,
69,69,60.02436625,30.2920052
70,70,59.874821600000004,30.3011829643372
71,71,59.88068195,30.472369739449302
72,72,59.8601483,30.3268943703252
73,73,60.0203177,30.321585
74,74,,
75,75,59.989304700000005,30.3147250048941
76,76,59.87311005,30.4774082122105
77,77,59.870044299999996,29.844477100000002
78,78,59.92456529999999,30.317300899999996
79,79,,
80,80,59.72980965,30.4210766180108
81,81,59.930162,30.349960100000004
82,82,59.91785965,30.2929938033821
83,83,59.9016395,30.4252848
84,84,59.95189345,30.4145691448982
85,85,59.83355765,30.1516957749324
86,86,60.03231565,30.419415651008002
87,87,59.9952346,29.7645067
88,88,59.9922424,29.7611233327738
89,89,59.72685445,30.4224172
90,90,59.87694995,30.2765652715838
91,91,59.98570475,30.2791587164922
92,92,59.99519229999999,29.7605425
93,93,59.92523745,30.4225420217657
94,94,59.74829335,30.5639815054703
95,95,59.900647,30.369785800000002
96,96,59.788557999999995,30.147206300000004
97,97,59.95053115,30.4162297697019
98,98,60.00117115,29.757068670430304
99,99,59.97677339999999,30.420879496760396
100,100,59.9273325,30.3503167
101,101,59.9830545,30.3434103434292
102,102,59.91703555,30.2889326
103,103,59.9864395,30.2660347597962
104,104,,
105,105,59.9842334,30.276667699999997
106,106,59.93987895,30.361847498947
107,107,,
108,108,,
109,109,59.737235999999996,30.0897312
110,110,60.0973201,29.973874199999997
111,111,59.7046824,30.405201426809203
112,112,,
113,113,59.96936205,30.3002527239472
114,114,59.983100300000004,30.2713210789492
115,115,,
116,116,59.9558655,30.3049735
117,117,59.9903936,30.191399800000003
118,118,59.91832245,30.3002988950737
119,119,59.91299245,30.315422525847897
120,120,59.9382322,30.370057199999998
121,121,,
122,122,,
123,123,59.96419925,30.295922256072803
124,124,,
125,125,59.971585600000004,30.266929696486898
126,126,,
127,127,59.9266765,30.356607300000004
128,128,60.01458985,30.416534370928897
129,129,59.917895900000005,30.3235168
130,130,59.927864799999995,30.3763936089779
131,131,59.9758554,30.305702237389898
132,132,59.93453470000001,30.3245016
133,133,,
134,134,59.9134375,30.27587485
135,135,59.956228700000004,30.327987265313602
136,136,59.99023470000001,29.7748489
137,137,59.8967405,30.261512300000003
138,138,59.94332779999999,30.345053600000004
139,139,59.92250205,30.3502992037196
140,140,59.9196265,30.352938899999998
141,141,59.854770200000004,30.47186145
142,142,59.67967755,30.46480105
143,143,59.893497200000006,30.4789576
144,144,59.9387212,30.347998699999998
145,145,60.1976764,29.664849600000004
146,146,59.956896400000005,30.3182277
147,147,59.930858400000005,30.3882611199591
148,148,59.95665329999999,30.361469800000002
149,149,59.906328599999995,30.474482199999997
150,150,59.8459505,30.2792383960995
151,151,59.95174235,30.48217285
152,152,59.91599870000001,30.322320899999998
153,153,59.95949175,30.2749513444151
154,154,59.895546100000004,30.260489093087102
155,155,60.04189445,30.4042848933573
156,156,59.743151600000004,30.102896899999998
157,157,,
158,158,59.91425375,30.4604484014917
159,159,59.9235043,30.3531381
160,160,59.9423371,30.3584168
161,161,,
162,162,59.931854799999996,30.373955100000003
163,163,,
164,164,59.9095591,30.278101399999997
165,165,,
166,166,,
167,167,,
168,168,59.930168200000004,30.387571218067304
169,169,59.9574197,30.327932099999998
170,170,59.9208871,30.3503913967655
171,171,,
172,172,59.931854799999996,30.3526658
173,173,,
174,174,59.9308701,30.351560499999998
175,175,60.0175154,30.3182565113028
