0,3
1,10
2,6
3,68
4,9
5,26
6,3
7,36
8,17
9,17
10,8
11,10
12,8
13,58
14,68
15,21
16,6
17,6
18,9
19,11
20,30
21,7
22,6
23,3
24,6
25,3
26,2
27,42
28,13
29,10
30,16
31,100
32,22
33,36
34,6
35,3
36,3
37,42
38,13
39,270
40,21
41,11
42,18
43,16
44,123
45,44
46,19
47,37
48,5
49,2
50,12
51,21
52,9
53,14
54,32
55,5
56,29
57,64
58,3
59,2
60,18
61,6
62,17
63,3
64,4
65,2
66,26
67,82
68,14
69,3
70,4
71,22
72,94
73,6
74,110
75,2
76,16
77,10
78,9
79,84
80,5
81,40
82,5
83,16
84,15
85,6
86,46
87,12
88,2
89,5
90,13
91,6
92,2
93,5
94,2
95,99
96,3
97,18
98,6
99,7
100,40
101,147
102,35
103,2
104,22
105,2
106,14
107,38
108,6
109,6
110,4
111,2
112,16
113,51
114,14
115,11
116,24
117,3
118,15
119,9
120,84
121,6
122,17
123,18
124,6
125,7
126,127
127,9
128,3
129,7
130,82
131,11
132,16
133,132
134,38
135,5
136,12
137,5
138,32
139,17
140,17
141,25
142,9
143,37
144,26
145,59
146,41
147,33
148,17
149,21
150,2
151,8
152,31
153,32
154,3
155,25
156,12
157,31
158,256
159,15
160,53
161,13
162,4
163,66
164,42
165,4
166,8
167,3
168,41
169,45
170,20
171,41
172,23
173,9
174,7
175,39
176,96
177,16
178,2
179,26
180,6
181,19
182,14
183,57
184,3
185,4
186,9
187,132
188,2
189,6
190,15
191,163
192,5
193,88
194,6
195,11
196,37
197,2
198,2
199,16
332,5
333,11
334,2
335,30
336,71
337,5
338,10
339,6
340,2
341,2
342,12
343,8
344,13
345,73
346,13
347,24
348,2
349,11
350,20
351,82
352,5
353,17
354,3
355,3
356,14
357,35
358,3
359,8
360,17
361,5
362,31
363,2
364,14
365,6
366,8
367,15
368,26
369,7
370,20
371,6
372,17
373,32
374,3
375,21
376,4
377,34
378,5
379,26
380,38
381,2
382,2
383,54
384,24
385,7
386,23
387,3
388,10
389,14
390,9
391,3
392,25
393,17
394,6
395,3
396,30
397,2
398,23
399,5
400,7
401,38
402,11
403,4
404,18
405,64
406,15
407,11
408,24
409,58
410,24
411,18
412,2
413,48
414,53
415,3
416,5
417,7
418,5
419,17
420,5
421,8
422,58
423,30
424,2
425,9
426,86
427,2
428,7
429,12
430,3
431,2
432,52
433,5
434,249
435,6
436,8
437,23
438,4
439,14
440,39
441,9
442,36
443,6
444,3
445,32
446,5
447,9
448,8
449,16
450,25
451,40
452,16
453,19
454,13
455,13
456,3
457,42
458,177
459,12
460,31
461,3
462,73
463,35
464,5
465,22
466,31
467,4
468,34
469,22
470,21
471,2
472,6
473,2
474,30
475,5
476,78
477,53
478,21
479,104
480,6
481,57
482,25
483,54
484,4
485,24
486,8
487,34
488,107
489,18
490,6
491,83
492,23
493,24
494,6
495,12
496,8
497,5
498,37
499,27
500,12
501,3
502,2
503,13
504,86
505,10
506,16
507,285
508,21
509,3
510,49
511,2
512,59
513,49
514,35
515,14
516,26
517,2
518,8
519,46
520,13
521,11
522,7
523,15
524,21
525,14
526,51
527,78
528,40
529,35
530,14
531,66
532,4
533,2
534,4
535,24
536,10
537,3
538,32
539,3
540,50
541,11
542,25
543,6
544,17
545,5
546,16
547,51
548,141
549,15
550,7
551,12
552,2
553,42
554,3
555,10
556,11
557,6
708,39
709,3
710,12
711,22
712,126
713,61
714,2
715,13
716,11
717,15
718,31
719,125
720,59
721,19
722,17
723,22
724,0
725,6
726,14
727,0
728,10
729,8
730,0
731,5
732,6
733,6
734,7
735,4
736,10
737,5
738,14
739,50
740,8
741,9
742,26
743,17
744,4
745,125
746,6
747,14
748,2
749,14
750,5
751,2
752,6
753,6
754,2
755,8
756,25
757,39
758,55
759,2
760,2
761,3
762,10
763,54
764,32
765,292
766,6
767,9
768,213
769,20
770,4
771,3
772,45
773,6
774,3
775,0
776,33
777,6
778,25
779,4
780,3
781,16
782,6
783,67
784,5
785,63
786,106
787,13
788,6
789,17
790,31
791,3
792,20
793,2
794,4
795,3
796,124
797,28
798,10
799,2
800,78
801,30
802,41
803,3
804,25
805,2
806,6
807,18
808,2
809,11
810,27
811,3
812,15
813,31
814,18
815,3
816,28
817,28
818,0
819,37
820,7
821,24
822,32
823,20
824,42
825,29
826,11
827,5
828,18
829,54
830,2
831,7
832,111
833,61
834,7
835,5
836,71
837,6
838,16
839,61
840,7
841,2
842,298
843,28
844,27
845,16
846,68
847,15
848,105
849,16
850,7
851,68
852,44
853,65
854,11
855,16
856,12
857,27
858,11
859,3
860,2
861,13
862,2
863,9
864,9
865,6
866,29
867,9
868,43
869,2
870,18
871,9
872,65
873,22
874,41
875,63
876,23
877,5
878,48
879,22
880,2
881,18
882,9
883,3
884,22
885,8
886,16
887,46
888,58
889,2
890,13
891,22
892,61
893,102
894,24
895,19
896,14
897,4
898,3
899,13
900,21
901,2
902,111
903,7
904,2
905,14
906,3
907,30
908,13
909,20
910,15
911,4
912,18
913,35
914,6
915,15
916,36
917,7
918,17
919,17
920,14
921,136
922,65
923,15
924,3
925,6
926,2
927,12
928,44
929,4
1077,6
1078,6
1079,29
1080,6
1081,2
1082,19
1083,8
1084,18
1085,40
1086,8
1087,35
1088,7
1089,12
1090,8
1091,4
1092,3
1093,19
1094,47
1095,8
1096,6
1097,16
1098,159
1099,5
1100,7
1101,49
1102,3
1103,5
1104,75
1105,26
1106,18
1107,5
1108,4
1109,16
1110,12
1111,3
1112,14
1113,2
1114,10
1115,38
1116,12
1117,10
1118,3
1119,11
1120,3
1121,35
1122,46
1123,7
1124,8
1125,51
1126,77
1127,17
1128,14
1129,36
1130,7
1131,91
1132,9
1133,24
1134,3
1135,36
1136,6
1137,27
1138,11
1139,271
1140,2
1141,2
1142,16
1143,102
1144,17
1145,4
1146,86
1147,0
1148,31
1149,6
1150,3
1151,6
1152,24
1153,0
1154,17
1155,71
1156,98
1157,17
1158,4
1159,5
1160,7
1161,22
1162,52
1163,83
1164,3
1165,6
1166,16
1167,292
1168,48
1169,4
1170,3
1171,2
1172,14
1173,7
1174,59
1175,3
1176,3
1177,7
1178,100
1179,64
1180,2
1181,17
1182,80
1183,3
